cust_id,visit_cnt,prod_cnt,category_cnt,brand_cnt,visit_week_num,tot_8wk_spend,max_8wk_spend,tot_8wk_quantity,fresh_food_cnt,dry_grocery_cnt,apparel_cnt,hardline_cnt,electronics_cnt,family_care_cnt,spd_fresh_food,spd_dry_grocery,spd_apparel,spd_hardline,spd_electronics,spd_family_care,prod_per_visit,cat_per_visit,brand_per_visit,spd_per_visit,quan_per_visit,fresh_food_spd_pct,dry_grocery_spd_pct,apparel_spd_pct,hardline_spd_pct,electronics_spd_pct,family_care_spd_pct,cust_id1,morning,midday,evening,spd_morning,spd_midday,spd_evening,wk_1_spd,wk_2_spd,wk_3_spd,wk_4_spd,wk_5_spd,wk_6_spd,wk_7_spd,wk_8_spd,wk_1_visit,wk_2_visit,wk_3_visit,wk_4_visit,wk_5_visit,wk_6_visit,wk_7_visit,wk_8_visit,defect
200100009033844 ,2,3,3,3,2,43.8,27,3,1,2,0,0,0,0,27,16.8,0,0,0,0,1.492537313,1.492537313,1.492537313,21.79104629,1.492537313,0.616297606,0.383474049,0,0,0,0,2.001E+14,0,0,32.9,0,0,43.8,37.9,5.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
200100004154300 ,2,11,9,10,1,192.91,50,6.904,8,1,1,0,0,1,83.11,26.9,50,0,0,32.9,5.472636816,4.47761194,4.975124378,95.9751262,3.434825774,0.430800327,0.139436031,0.259174783,0,0,0.170537015,2.001E+14,0,82.9,0,0,192.91,0,142.91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
200100009625732 ,1,9,8,9,1,113.2,29.8,13.74,6,1,0,0,0,1,92.9,10,0,0,0,10,8.910891089,7.920792079,8.910891089,112.0792049,13.60396017,0.820598923,0.088331422,0,0,0,0.088331422,2.001E+14,0,29.8,0,0,113.2,0,113.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
200100009205548 ,1,1,1,1,1,15.8,15.8,1,0,1,0,0,0,0,0,15.8,0,0,0,0,0.99009901,0.99009901,0.99009901,15.64356455,0.99009901,0,0.999367489,0,0,0,0,2.001E+14,0,15.8,0,0,15.8,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,1,1
200100004943751 ,7,24,15,18,6,307.47,36,70.826,16,8,0,0,0,0,209.24,98.23,0,0,0,0,3.423680456,2.139800285,2.567760342,43.86162207,10.10356582,0.680499578,0.319467974,0,0,0,0,2.001E+14,51.8,70.01,45.89,127.45,92.41,87.61,0,19.69,0,31.93,39.26,48.35,107.76,19.09,0,1,0,1,1,1,1,1,1
200100006689410 ,1,1,1,1,1,9.9,9.9,1,0,0,0,0,0,1,0,0,0,0,0,9.9,0.99009901,0.99009901,0.99009901,9.80197982,0.99009901,0,0,0,0,0,0.998990918,2.001E+14,0,9.9,0,0,9.9,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,1,0
200100001272924 ,3,16,14,15,1,3103.53,2898,76.84,2,5,0,3,1,5,17.2,67.8,0,52.3,2898,68.23,5.315614618,4.651162791,4.983388704,1031.073099,25.52823799,0.005542059,0.021846022,0,0.016851725,0.933772393,0.021984571,2.001E+14,19.8,0,2927.9,31,0,3072.53,0,0,0,0,0,2898,0,0,0,0,0,0,0,1,0,0,0
200100003098817 ,8,24,14,16,6,225.2,22.9,26.051,20,4,0,0,0,1,162,48,0,0,0,14.9,2.996254682,1.747815231,1.997503121,28.11485605,3.252309687,0.719328704,0.213134394,0,0,0,0.066160472,2.001E+14,0,0,146.4,0,0,225.2,47.5,28.8,0,19.9,0,35.2,22.9,29.3,1,1,0,1,0,1,1,1,0
200100006703093 ,1,8,7,8,1,57.9,14,10.936,4,3,0,0,0,0,33.3,24.3,0,0,0,0,7.920792079,6.930693069,7.920792079,57.32673418,10.82772264,0.575030191,0.419616622,0,0,0,0,2.001E+14,0,0,14,0,0,57.9,0,0,0,0,0,57.9,0,0,0,0,0,0,0,1,0,0,1
200100006212878 ,2,13,12,12,2,203.9,48.5,30.411,5,6,0,1,0,0,114.3,83.7,0,5.9,0,0,6.467661692,5.970149254,5.970149254,101.4427754,15.12985135,0.560541452,0.410475238,0,0.028934337,0,0,2.001E+14,48.5,0,14.9,172.9,0,31,0,0,0,31,172.9,0,0,0,0,0,0,1,1,0,0,0,1
200100006945742 ,1,8,7,7,1,84.4,29.9,7.885,3,3,1,0,0,1,32.4,19.2,29.9,0,0,2.9,7.920792079,6.930693069,6.930693069,83.56435795,7.80693092,0.383840788,0.227461184,0.354223422,0,0,0.034356119,2.001E+14,0,0,29.9,0,0,84.4,84.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
200100001970188 ,4,10,9,10,3,514.4,190,16,1,0,1,3,0,5,5,0,59,42.6,0,407.8,2.493765586,2.244389027,2.493765586,128.2792926,3.990024938,0.009719874,0,0.114694513,0.082813323,0,0.792752895,2.001E+14,19.9,180,195,80.4,239,195,0,239,0,0,80.4,190,0,0,0,1,0,0,1,1,0,0,0
200100010310085 ,2,2,2,2,1,17.8,10,1.382,1,1,0,0,0,0,7.8,10,0,0,0,0,0.995024876,0.995024876,0.995024876,8.855721013,0.687562174,0.437956234,0.561482337,0,0,0,0,2.001E+14,0,0,17.8,0,0,17.8,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
200100007248960 ,11,65,36,52,5,2108.71,275.6,106.253,20,40,0,5,0,4,831.25,1147.96,0,70.2,0,58.2,5.903723887,3.269754768,4.72297911,191.5268346,9.650590916,0.394196395,0.544387098,0,0.033290329,0,0.027599674,2.001E+14,161.6,419.5,117.92,451.8,1197.68,459.23,0,0,0,85.95,215.35,399.23,613.5,49,0,0,0,1,1,1,1,1,0
200100010237030 ,3,12,9,11,3,125.95,30.8,12,6,4,0,0,0,0,84.1,41.6,0,0,0,0,3.986710963,2.990033223,3.65448505,41.84385534,3.986710963,0.667672241,0.330263552,0,0,0,0,2.001E+14,0,0,56.6,0,0,125.95,25.8,0,0,0,0,70.45,0,29.7,1,0,0,0,0,1,0,1,1
200100007619028 ,8,37,19,29,5,500.7,60,69.74,21,20,0,1,0,2,144.9,306.3,0,9.9,0,39.6,4.619225968,2.372034956,3.620474407,62.5093572,8.706616462,0.289389084,0.611731377,0,0.019771925,0,0.0790877,2.001E+14,21.8,36.6,127.6,120.1,119.6,261,73.7,108.7,5.3,0,120.1,0,88.9,0,1,1,1,0,1,0,1,0,0
200100009723788 ,1,11,9,10,1,176.87,39.8,15.07,5,5,0,0,0,0,70.02,106.25,0,0,0,0,10.89108911,8.910891089,9.900990099,175.1188222,14.92079178,0.395861602,0.600689698,0,0,0,0,2.001E+14,0,39.8,0,0,176.87,0,0,0,0,0,0,0,0,176.87,0,0,0,0,0,0,0,1,1
200100000525694 ,4,10,6,9,3,113.02,31.6,19.978,9,3,0,0,0,0,97.22,15.8,0,0,0,0,2.493765586,1.496259352,2.244389027,28.18453782,4.982045048,0.860125599,0.139785903,0,0,0,0,2.001E+14,41.6,0,0,144.62,0,0,35.7,64.32,0,0,0,0,44.6,0,1,1,0,0,0,0,1,0,0
100000299038604 ,1,4,4,4,1,44.1,24.9,6,2,1,0,0,0,0,42.9,1,0,0,0,0,3.96039604,3.96039604,3.96039604,43.66336483,5.940594059,0.972568647,0.022670597,0,0,0,0,1E+14,0,24.9,0,0,44.1,0,0,0,0,44.1,0,0,0,0,0,0,0,1,0,0,0,0,1
200100007835404 ,2,5,4,5,2,226.2,99,7,4,0,0,0,0,0,226.2,0,0,0,0,0,2.487562189,1.990049751,2.487562189,112.5373119,3.482587065,0.999955793,0,0,0,0,0,2.001E+14,0,0,190.01,0,0,226.2,0,0,0,127.2,0,99,0,0,0,0,0,1,0,1,0,0,0
200100005029581 ,3,43,28,40,3,501.1,43.9,80.42,36,8,1,0,0,0,403,84.9,12.9,0,0,0,14.28571429,9.302325581,13.28903654,166.4783769,26.7176099,0.80421472,0.169423926,0.025742854,0,0,0,2.001E+14,85,0,0,501.1,0,0,0,0,0,0,180.1,212.7,0,108.3,0,0,0,0,1,1,0,1,0
