cust_id	payment_category_desc	payment_amount_share
200100006515255 	电子支付	0.20757966
200100002212533 	银行卡支付	0.315003614
200100008995376 	现金支付	0.998629949
200100009201226 	银行卡支付	0.612156587
200100002166898 	现金支付	0.845192452
200100009584243 	银行卡支付	0.358418093
200100009525481 	预支付卡支付	0.025705338
200100008798542 	银行卡支付	0.105733576
200100008670000 	现金支付	0.968151424
200100005096126 	现金支付	0.999437697
200100005466145 	银行卡支付	0.307854863
200100009186554 	银行卡支付	0.078295358
200100008685122 	银行卡支付	0.191262695
200100009201930 	现金支付	0.998684557
200100003917923 	银行卡支付	0.79571674
200100001668000 	活动支付	0.000189608
200100009764443 	电子支付	0.999897088
200100006518934 	银行卡支付	0.572220129
200100002455685 	银行卡支付	0.073475564
200100009477541 	现金支付	0.126717158
200100008218460 	现金支付	0.820291992
200100006500607 	银行卡支付	0.296946321
200100006392630 	银行卡支付	0.369468568
200100008153758 	银行卡支付	0.999213682
200100006678563 	现金支付	0.091933846
200100004738683 	银行卡支付	0.454221588
200100001825414 	现金支付	0.99799559
200100008173024 	现金支付	0.642593387
200100008390214 	现金支付	0.110698444
200100008759265 	银行卡支付	0.025238479
200100007621907 	现金支付	0.620464379
200100008931369 	现金支付	0.250816825
200100008755040 	现金支付	0.611093574
200100008167391 	银行卡支付	0.93554007
200100007904963 	预支付卡支付	0.1617295
200100002255837 	银行卡支付	0.161327687
200100009016527 	电子支付	0.009849938
200100005427976 	银行卡支付	0.424285725
200100008799609 	现金支付	0.192216355
200100008080280 	银行卡支付	0.460637605
200100009263074 	电子支付	0.224742693
200100009542076 	电子支付	0.992663243
200100005450009 	现金支付	0.995969367
200100008852303 	现金支付	0.770125518
200100009860300 	现金支付	0.994266055
200100007834919 	电子支付	0.414919992
200100004763094 	银行卡支付	0.017733118
200100001361646 	电子支付	0.454570168
200100009304647 	现金支付	0.90238153
200100002429776 	银行卡支付	0.61718425
200100004667807 	预支付卡支付	0.524497164
200100001394243 	银行卡支付	0.926088869
200100001388473 	银行卡支付	0.588610248
200100002309675 	现金支付	0.034922337
200100001341163 	银行卡支付	0.598793371
200100004663280 	现金支付	0.674820033
200100008217021 	现金支付	0.007861845
200100009143838 	电子支付	0.126684226
200100005322309 	现金支付	0.1215675
200100009543233 	现金支付	0.999586469
200100007840813 	银行卡支付	0.051904986
200100002419413 	现金支付	0.998361193
200100008142970 	电子支付	0.071548067
200100009757168 	现金支付	0.767978834
200100008058318 	银行卡支付	0.992553984
200100005106780 	现金支付	0.999831828
200100009896995 	现金支付	0.727932469
200100004756316 	银行卡支付	0.271857201
200100009208982 	银行卡支付	0.507967565
200100008069211 	银行卡支付	0.78618225
200100009322747 	银行卡支付	0.933542086
200100008059513 	现金支付	0.658015703
200100007550503 	电子支付	0.06252242
200100008203200 	活动支付	0.00066569
200100005457790 	银行卡支付	0.30599727
200100009278845 	现金支付	0.07351117
200100001327963 	现金支付	0.631259571
200100007409390 	现金支付	0.907032758
200100002406399 	现金支付	0.170313664
200100009448154 	银行卡支付	0.479498806
200100001776531 	现金支付	0.707736825
200100008192164 	现金支付	0.17851519
200100007861919 	银行卡支付	0.907852595
200100001363342 	现金支付	0.996659987
200100009361825 	现金支付	0.994538504
200100008636636 	现金支付	0.656474838
200100002410974 	现金支付	0.897663889
200100002454513 	现金支付	0.999760439
200100002445112 	现金支付	0.414340099
200100009628251 	现金支付	0.99830652
200100009171774 	银行卡支付	0.947806203
200100008210578 	银行卡支付	0.76104907
200100006524201 	银行卡支付	0.323491686
200100001783988 	电子支付	0.234190899
200100007432695 	现金支付	0.951693306
200100006767639 	活动支付	0.001130525
200100001340588 	现金支付	0.111597442
200100002131681 	现金支付	0.41534773
200100009379081 	现金支付	0.796683083
200100009005795 	现金支付	0.997740113
200100007571501 	银行卡支付	0.185123047
200100006865854 	现金支付	0.9983272
200100007987166 	银行卡支付	0.997252747
200100008840204 	银行卡支付	0.807505546
200100004782747 	现金支付	0.91618468
200100009415666 	现金支付	0.688747903
200100008039011 	预支付卡支付	0.13784632
200100006659579 	电子支付	0.326271186
200100009218867 	电子支付	0.067101338
200100009217712 	现金支付	0.544242702
200100002329240 	现金支付	0.262520294
200100007782885 	现金支付	0.908690851
200100002308258 	预支付卡支付	0.999515534
200100009358484 	现金支付	0.620548257
200100008110249 	银行卡支付	0.806906249
200100009544033 	现金支付	0.801342427
200100005053553 	现金支付	0.156046348
200100006677252 	现金支付	0.999032508
200100008876308 	现金支付	0.334269328
200100005076081 	现金支付	0.738159105
200100002114707 	现金支付	0.026777062
200100005456085 	银行卡支付	0.739812119
200100002292841 	现金支付	0.996754301
200100008697259 	现金支付	0.998828079
200100001708061 	银行卡支付	0.107543832
200100007587476 	现金支付	0.059189136
200100001415480 	现金支付	0.533949115
200100007593393 	银行卡支付	0.147351474
200100009507995 	现金支付	0.998346014
200100010054598 	现金支付	0.99561211
200100009401635 	现金支付	0.830647249
200100009921051 	现金支付	0.904959949
200100009136158 	现金支付	0.907657868
200100001954399 	现金支付	0.999322126
200100008807194 	现金支付	0.04528047
200100009024428 	电子支付	0.073120726
200100007629067 	电子支付	0.091054533
200100008802545 	银行卡支付	0.349550924
200100001783853 	银行卡支付	0.47703147
200100001332633 	银行卡支付	0.977345891
200100009840291 	现金支付	0.844305856
200100005373881 	现金支付	0.613553176
200100002450168 	银行卡支付	0.090909083
200100002172684 	现金支付	0.155992636
200100001248827 	现金支付	0.999503599
200100004735029 	电子支付	0.466460571
200100008808367 	现金支付	0.43180649
200100009648245 	电子支付	0.213041893
200100006549064 	现金支付	0.258417686
200100009649889 	电子支付	0.534881489
200100007617878 	预支付卡支付	0.116874088
200100007847012 	现金支付	0.173103375
200100008624147 	银行卡支付	0.318542632
200100001267124 	银行卡支付	0.603877384
200100008119489 	现金支付	0.405427264
200100007965402 	银行卡支付	0.564051478
200100009429145 	银行卡支付	0.32177871
200100009355828 	现金支付	0.027951733
200100005466045 	银行卡支付	0.043844424
200100001771358 	银行卡支付	0.12503956
200100008848719 	现金支付	0.186513745
200100009243830 	现金支付	0.072461843
200100009471401 	预支付卡支付	0.200595088
200100009892198 	银行卡支付	0.238095246
200100009392212 	银行卡支付	0.220041327
200100010069247 	电子支付	0.991873222
200100002138293 	银行卡支付	0.987609567
200100001294132 	现金支付	0.250862296
200100009456968 	现金支付	0.826532498
200100001966008 	现金支付	0.054372941
200100009245732 	银行卡支付	0.152058552
200100002092238 	电子支付	0.172507923
200100002237844 	银行卡支付	0.9654521
200100003874265 	银行卡支付	0.290737829
200100009495976 	现金支付	0.657356084
200100005347750 	现金支付	0.654425238
200100008482805 	银行卡支付	0.335273355
200100002104824 	活动支付	0.009888344
200100001780497 	银行卡支付	0.102305663
200100004667732 	银行卡支付	0.928615162
200100007610490 	银行卡支付	0.07170396
200100009329341 	电子支付	0.763790644
200100006845797 	现金支付	0.347421958
200100007629365 	现金支付	0.999370317
200100008483403 	银行卡支付	0.10074596
200100006774212 	现金支付	0.987297556
200100009337795 	银行卡支付	0.698671759
200100010013988 	现金支付	0.553869496
200100008994623 	现金支付	0.468905486
200100001376514 	预支付卡支付	0.776304801
200100007358374 	现金支付	0.348871436
200100006455283 	现金支付	0.716889359
200100002080970 	现金支付	0.817890616
200100010055758 	电子支付	0.980657641
200100006542609 	银行卡支付	0.851130274
200100002132000 	现金支付	0.497653412
200100008798323 	电子支付	0.08890612
200100002243029 	现金支付	0.72750594
200100005084263 	银行卡支付	0.994008388
200100008478416 	银行卡支付	0.08751586
200100005110187 	现金支付	0.611752931
200100002102236 	电子支付	0.03447816
200100007453818 	现金支付	0.039012513
200100005111718 	现金支付	0.998531787
200100009423901 	电子支付	0.02771349
200100002456631 	电子支付	0.113286709
200100009199199 	银行卡支付	0.032586193
200100008216888 	现金支付	0.678352366
200100009010200 	现金支付	0.379437831
200100009330677 	银行卡支付	0.61456285
200100009478152 	现金支付	0.265438313
200100006420981 	现金支付	0.998878421
200100002112107 	银行卡支付	0.872995556
200100009435603 	现金支付	0.749179289
200100007984419 	现金支付	0.997754323
200100007849855 	现金支付	0.325118112
200100006697471 	现金支付	0.908256878
200100009940755 	现金支付	0.996645421
200100001219316 	现金支付	0.893287922
200100008849186 	现金支付	0.804075031
200100009243624 	现金支付	0.38883446
200100006543383 	现金支付	0.660642577
